,Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites
9,k403,Ramicane,Male,21,16,45,22.05012627,1
19,s185,Capomulin,Female,3,17,45,23.34359787,1
29,x401,Capomulin,Female,16,15,45,28.48403281,0
39,m601,Capomulin,Male,22,17,45,28.43096411,1
49,g791,Ramicane,Male,11,16,45,29.12847181,1
59,s508,Ramicane,Male,1,17,45,30.27623175,0
74,m546,Ramicane,Male,18,16,45,30.56462509,1
84,z578,Ramicane,Male,11,16,45,30.63869575,0
94,j913,Ramicane,Female,4,17,45,31.56046955,1
104,u364,Capomulin,Male,18,17,45,31.02392294,3
114,n364,Ramicane,Male,4,17,45,31.09533505,1
124,y793,Capomulin,Male,17,17,45,31.896238399999998,2
134,r554,Capomulin,Female,8,17,45,32.37735684,3
144,m957,Capomulin,Female,3,19,45,33.32909778,1
154,c758,Ramicane,Male,9,17,45,33.39765251,1
164,t565,Capomulin,Female,20,17,45,34.45529799,0
174,a644,Ramicane,Female,7,17,45,32.97852192,1
184,i177,Ramicane,Male,10,18,45,33.56240217,3
194,j989,Ramicane,Male,8,19,45,36.13485243,1
204,i738,Capomulin,Female,23,20,45,37.31184577,2
214,a520,Ramicane,Male,13,21,45,38.81036633,1
224,w914,Capomulin,Male,24,21,45,36.04104736,2
234,r811,Ramicane,Male,9,19,45,37.22565033,1
244,g288,Capomulin,Male,3,19,45,37.07402422,1
254,i334,Ramicane,Female,8,20,45,36.37451039,2
272,d251,Ramicane,Female,8,19,45,37.31123552,2
282,l897,Capomulin,Male,17,19,45,38.84687569,1
299,b742,Capomulin,Male,7,21,45,38.93963263,0
309,b128,Capomulin,Female,9,22,45,38.98287774,2
327,a411,Ramicane,Male,3,22,45,38.407618299999996,1
337,j119,Capomulin,Female,7,23,45,38.125164399999996,1
350,v923,Capomulin,Female,19,21,45,40.65812366,2
360,g316,Capomulin,Female,22,22,45,40.1592203,2
370,s710,Capomulin,Female,1,23,45,40.72857787,1
380,l509,Capomulin,Male,17,21,45,41.48300765,3
390,r944,Capomulin,Male,12,25,45,41.58152074,2
400,e662,Ramicane,Male,8,24,45,40.65900627,2
410,u196,Ramicane,Male,18,25,45,40.66771292,3
420,q597,Ramicane,Male,20,25,45,45.22086888,2
430,a444,Ramicane,Female,10,25,45,43.04754260000001,0
440,i557,Capomulin,Female,1,24,45,47.68596303,1
463,a203,Infubinol,Female,20,23,45,67.97341878,2
473,a251,Infubinol,Female,21,25,45,65.52574285,1
493,a275,Ceftamin,Female,20,28,45,62.99935619,3
540,a685,Infubinol,Male,8,30,45,66.08306589,3
637,c139,Infubinol,Male,11,28,45,72.2267309,2
800,e476,Infubinol,Male,23,26,45,62.43540402,1
834,f345,Infubinol,Male,23,26,45,60.91876652,1
993,j296,Ceftamin,Female,24,30,45,61.84902336,3
1033,k210,Ceftamin,Male,15,28,45,68.92318457,3
1053,k483,Infubinol,Female,20,30,45,66.19691151,3
1112,l471,Ceftamin,Female,7,28,45,67.74866174,1
1132,l661,Ceftamin,Male,18,26,45,59.85195552,3
1162,l733,Ceftamin,Female,4,30,45,64.29983003,1
1260,o287,Ceftamin,Male,2,28,45,59.74190064,4
1379,p438,Ceftamin,Female,11,26,45,61.43389223,1
1670,w151,Ceftamin,Male,24,25,45,67.52748237,3
1773,x581,Ceftamin,Female,19,28,45,64.63494887,3
1797,x822,Ceftamin,Male,3,29,45,61.38666032,3
1813,y163,Infubinol,Female,17,27,45,67.68556862,3
1845,y769,Ceftamin,Female,6,27,45,68.59474498,4
1855,y865,Ceftamin,Male,23,26,45,64.72983655,3
1872,z581,Infubinol,Female,24,25,45,62.75445141,3
